patterns,s1,s2,priority,notes
вводн|начать|старт|как начать,"🎬 Начните с вводной лекции: <вводная>.","✅ Шаги на старт: 1) <вводная>, 2) <анкета>, 3) #ТочкаА.",100,онбординг
анкета|форма|заполнить анкет,"📝 Анкета участника: <анкета> (3–5 минут).","🔗 После анкеты посмотрите <вводная> и напишите #ТочкаА.",90,анкета
правил|регламент|что можно|оффтоп,"📜 Правила чата: <правила>.","💬 Коротко: по делу и по программе; сторонние сборы — вне чата. Полная версия: <правила>.",80,правила
встреч|знакомств|расписан|график|зум|zoom,"📅 Ближайшие встречи — в закрепе/анонсе; при необходимости пришлю ссылку.","🎤 На встрече — 5–7 мин самопрезентации; будут записи.",70,встречи
вопрос|лекци|материал|понять|разобраться,"❓ Вопросы по лекциям — в бота Маше (ссылка в закрепе).","🗒️ Напишите, к какой лекции вопрос и что именно непонятно — передам Маше.",70,вопросы
база защит|пакет документ|портфолио,"🗂️ База защит: <база_защит>. Рекомендую 10–15 перед своей.","📁 Сначала черновик пакета, затем смотрим похожие защиты: <база_защит>.",70,пакет
записать|слот|таблиц|расписани|когда защита|дедлайн,"⏰ Запись на защиту — в таблице (из закрепа). Лучше занять слот заранее.","🗓️ Записаться можно не позднее чем за 10 дней; ссылку на пакет — за 3 дня.",70,защита
onstudy|платформ|логин|доступ,"💻 Лекции — на onstudy.org. Если не видите курс — скажите, проверим доступ.","🗓️ Распределите просмотр по неделям; пришлите скрин, если что-то не открывается.",60,платформа
книга|читать|1900,"📚 Параллельно читаем «Искусство с 1900 года».","🔎 Можно выборочно — по блокам, совпадающим с лекциями.",50,книга
*, "💬 Подскажите, к какому модулю относится вопрос — помогу быстро сориентироваться.","✅ Мини-план: 1) <вводная>, 2) <анкета>, 3) #ТочкаА.",1,дефолт
